Regulator	Score	N_modules	N_targets	Modules	Targets
υ_aminobutyric_acid__gaba__C18	2.1004443059822795	1.0	15.0	7	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A
np_018661_C18	2.0833954503775214	1.0	12.0	13	SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
phenylacetylglycine_C18	2.02065135069422	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
tolycaine_HI	1.9965606085655323	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
gamma_glutamylisoleucine_HI	1.8976607104938008	1.0	10.0	21	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
2_oxoglutaric_acid_HI	1.8917802504983832	1.0	10.0	21	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
ethyl_paraben_HI	1.80354874407287	1.0	10.0	21	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
5__hydroxymethyl__4_methoxy_2,5_dihydrofuran_2_one_HI	1.778919611850034	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
n_acetylaspartylglutamic_acid_HI	1.7775032620411113	1.0	17.0	9	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
2'_deoxyinosine_5'_monophosphate_C18	1.755256038461494	1.0	12.0	13	SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
gamma_glutamylvaline_HI	1.7345176851091717	1.0	10.0	21	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
histamine_C18	1.52934086199012	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
edaravone_HI	1.527642521757114	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
