Regulator	Target	Score	Overall_rank
ZNF66	15	0.8143166077526642	316
FOXP1	15	0.7535398776232565	350
ZNF384	15	0.6822884909222643	387
ZNF445	15	0.6705770356425123	397
ZNF142	15	0.6394239152572603	415
ZNF34	15	0.4852988075536141	557
ZBED3	15	0.39382393161658885	664
PKNOX2	15	0.32584859430091384	803
IKZF3	16	15.09892833135135	1
PBX1	17	1.423283737438814	180
FOXC2	17	1.376316473552596	183
RUNX1	17	1.3200150401347064	189
ZKSCAN2	17	1.1418940182887083	229
FOXL1	17	1.1129680507569057	234
TBX18	17	0.42960037524420513	619
SNAI2	17	0.31770161497860333	820
ZBTB5	17	0.2961295444873118	876
NFIA	17	0.28677380288514925	907
FOXP1	17	0.28471058324078685	911
SOX10	18	6.239464849023666	15
MYRF	18	1.5536868309254372	157
TFEB	18	1.4759898257748214	166
ZNF536	18	0.6008846486756113	446
ZNF217	18	0.3796665521826475	685
XBP1	18	0.30367613749756495	857
MYT1L	18	0.2969672235747733	872
SATB2	19	1.9771945126039152	112
DBX2	19	0.6797002056294792	389
ZFHX4	19	0.5678923821728171	476
TFAP4	19	0.5245155243085704	522
ZNF217	19	0.49975892230677327	543
GRHL1	19	0.4877584593890251	554
ZSCAN16	19	0.4718624582333664	574
SOX4	19	0.36436607091236967	713
ZNF891	19	0.2997177715122639	866
ZC3H8	19	0.2777137511785087	932
IKZF1	20	8.469623338328287	8
LYL1	20	3.172267534215058	58
SNAI3	20	0.8363114762989383	309
CEBPA	20	0.8258468431136425	313
HHEX	20	0.611654268810378	437
ZNF217	21	2.005079210093417	110
ZNF711	21	1.7484481266756604	131
ZNF821	21	1.4810269405511551	164
SOX11	21	1.1546081753635185	225
ASCL1	21	0.9714192422499806	263
NR1H2	21	0.5559174135201952	488
MYCN	21	0.5078637743533769	536
SOX8	21	0.42052986435187184	626
SOX4	21	0.3918788136106737	666
PATZ1	21	0.296482614637676	875
POU6F2	22	3.729130777708107	43
LHX6	22	1.0394323488473238	245
RORB	22	0.7260283696899301	364
MYT1L	22	0.7135499074593767	372
DBP	22	0.5968692656016379	452
ZFP92	22	0.4744819758167619	571
SIX1	22	0.30624524761658006	850
ZNF324B	23	2.399633686777351	86
ZBTB45	23	2.2066144265108423	97
ZNF444	23	1.0941585853199451	237
ZNF446	23	1.0016512279619312	255
ZNF324	23	0.7752945480647674	338
MEIS3	23	0.5522620733870478	495
CC2D1A	23	0.5425928467470388	506
SKIL	23	0.5295860503725336	512
ZNF865	23	0.5065639299981171	537
ZNF512B	23	0.3145656751016286	827
HEY1	23	0.2745724364422196	938
FOS	24	3.160432094004906	59
NR4A3	24	2.3484474488623213	89
EGR2	24	1.868212848281314	123
JUNB	24	1.7387691671822985	135
KLF6	24	0.6479228025981912	412
ATF3	24	0.46038451880085185	585
ZBED6	24	0.33976512193098607	767
GABPA	24	0.3179035353690606	817
ESR2	25	1.6079275868621536	150
MEF2A	25	1.591211629128124	153
TFAP4	25	1.4895140613081819	163
BCL6B	25	0.41538917458388647	634
NR2F1	25	0.3593250339414013	722
GTF2IRD1	25	0.34079796651814487	764
LHX6	25	0.2977096804924904	869
NFIB	25	0.2785702422735704	928
ZBED1	25	0.27469097388007074	937
IRF1	26	3.2740274213497527	52
MNT	26	1.010760888167378	249
STAT5A	26	0.999789492908622	256
ELK3	26	0.7600186894608078	346
ZNF678	26	0.6259715866255376	423
ZNF286A	26	0.6061218680115525	442
ZNF74	26	0.5575699648596492	487
ZNF821	26	0.39509646587587316	660
ZNF711	26	0.32624865815366133	802
ZSCAN16	26	0.30832074227748457	844
ZSCAN25	27	4.097634909226637	37
ZNF786	27	2.2123207839050436	96
ZSCAN21	27	1.2974083818586408	195
GTF2I	27	0.9471419469592003	267
ZNF282	27	0.836749672599524	308
ZKSCAN5	27	0.4406917606054919	608
ZNF398	27	0.4020306880904627	652
POU2F2	28	1.6079721110345817	149
ETS2	28	1.1716719010218322	223
IRF8	28	0.5905697852187769	457
NPAS3	28	0.5653718636873329	479
MSC	28	0.41648876911307053	632
BATF	28	0.38303971220179256	681
ETV3	28	0.3780551838868586	687
ZNF558	28	0.36504068838955184	710
ZNF384	28	0.3453433543004513	747
BATF2	28	0.3255849356615758	804
ZNF254	29	2.194279269650926	98
ZNF429	29	1.2075469805811896	214
ZNF493	29	0.8676670981405193	289
ZNF559	29	0.8608671747755541	298
ZNF780B	29	0.660680249080452	403
ZNF585A	29	0.6072701994407355	440
ZNF443	29	0.5737753835920516	470
ZNF131	29	0.4876059295976726	555
ZNF613	29	0.34168162244271405	759
ZNF532	29	0.3116793030166002	833
ZNF688	30	3.3717385867560785	50
GLI4	30	1.6197827106787126	148
ZNF48	30	0.9554774095236821	265
ZNF687	30	0.5266414990670893	517
MXD4	30	0.3961318526262212	658
TFAP4	30	0.36985118747587586	701
GABPA	30	0.29693061642484864	873
FOXG1	31	4.694782578014111	28
NPAS3	31	1.3728646517410534	184
ETV1	31	1.254356485083209	202
NR2E1	31	0.8035912212573896	324
