GeneA,GeneB
DAXX,PML
AZIN1,OAZ3
PDGFB,PDGFRB
FKBP8,EGLN1
BAIAP2,EPS8
STX1A,VAMP2
HLA-C,KIR2DL1
KMT2C,RBBP5
OTUB1,UBC
PRKCQ,CARD11
BCL2,BID
CCR1,CCL5
MED10,MED17
GTF2H2,GTF2H3
CCR5,CCL5
EPAS1,EGLN1
VPS29,VPS26A
CRK,DOCK1
JADE2,ING4
KRIT1,ITGB1BP1
NLRC4,CASP1
ATXN3,VCP
IL6R,IL6ST
INHBA,ACVR2A
UBC,UCHL3
LSM1,LSM3
TOM1L1,TOLLIP
SERPINE1,PLAT
PPP6R3,PPP6C
MC2R,MRAP
GGA3,IGF2R
CDK7,MNAT1
GP1BA,VWF
KNL1,BUB1
EIF3A,EIF3B
NPRL2,DEPDC5
CDCA8,AURKB
FGF10,FGFR2
TECPR1,ATG5
ZFPM2,GATA4
NUP98,RAE1
IL22RA2,IL22
CDK7,ERCC3
LILRB1,HLA-G
NBR1,SQSTM1
DTL,CUL4A
EMC8,EMC2
SMARCA5,BAZ1B
KPNB1,RAN
POLE3,CHRAC1
RAET1E,KLRK1
TOB1,CNOT7
TAF11,TBP
ARIH2,UBE2L3
PRKN,SNCAIP
PTCH1,SHH
RXRA,THRB
IL18,CASP1
GCK,GCKR
NKX2-5,GATA4
WDR5,CXXC1
TRIM28,ZNF10
CCNL1,CDK11A
ODC1,OAZ3
LSM4,LSM1
SPOP,CUL3
CRK,ABL1
TSG101,HGS
AKT1,TCL1A
ITGA3,CD151
NGLY1,RAD23B
WDR5,KMT2B
BCL2L2,BIK
PIAS3,STAT3
KAT2A,SUPT3H
FBXL2,SKP1
CUL5,SOCS2
GSTA2,GSTA4
RNF126,BAG6
FAN1,MLH1
CASP8,CASP10
PSMA1,PSMA3
RIPK3,MLKL
TRIM32,PDE9A
TNF,SHARPIN
CDK6,CDKN2B
CNOT7,BTG1
HNF4A,NR0B2
BUB1,BUB3
PPP2CA,PPP2R5B
FANCD2,FANCE
SKP1,KDM2B
CEBPB,DDIT3
CDK8,MED24
DRG2,RWDD1
MAVS,TRAF6
PDCD6IP,TSG101
ORC1,ORC5
UIMC1,BRCA1
IL33,IL1RL1
EIF4E,EIF4ENIF1
LIF,LIFR
KRAS,RAF1
OPTN,TBK1
MAPK1,RPS6KA3
NFRKB,UCHL5
MCM4,MCM7
XRCC6,PRKDC
IFIT1,IFIT3
BLM,RMI1
HMGCR,INSIG1
ATXN3,UBC
STK38L,MOB2
SMAD5,SMURF1
HDAC1,MBD2
COPS5,COPS2
GABARAPL2,ATG4B
EXOSC9,EXOSC4
TICAM1,TBK1
BBS5,BBS9
AHR,AIP
COTL1,ALOX5
DET1,COP1
BCL2L1,HRK
CAPN2,CAPNS1
NCOA2,ESR1
PCNA,POLD1
PTTG1,ESPL1
MED1,VDR
JADE2,ING5
COPS8,COPS7A
SEC23B,SEC24D
THOC5,THOC1
CDK8,MED23
E2F1,RBL1
BABAM1,BRCC3
RAF1,YWHAB
SUMO2,UBE2I
ERCC2,ERCC3
SETD1B,CXXC1
INCENP,CDCA8
CEP97,CCP110
PDGFB,PDGFRA
DUSP6,MAPK1
SMARCC1,SMARCE1
RSF1,SMARCA5
VPS16,VPS33A
CDK8,MED14
MAU2,NIPBL
COPS5,COPS7A
SKP1,CCNF
BAZ1A,SMARCA5
RAB11FIP5,RAB11A
APH1A,PSEN1
EP300,H4C1
SH3KBP1,CBLB
TSN,TSNAX
PCNA,RFC1
ATM,TP53
SEPTIN2,SEPTIN5
MYOZ2,ACTN4
ANAPC1,CDC27
MAX,MXD3
PRKAB2,PRKAG1
MLH1,PMS1
ELP2,ELP1
ERCC2,GTF2H2
FBXW8,SKP1
RSPO1,LGR4
PEX19,ABCD3
NDC80,NUF2
FLACC1,SULT2B1
MAP3K8,NFKB1
VPS29,TBC1D5
IKZF1,CRBN
IFT27,HSPB11
BMP2,BMPR2
PRKAR2A,AKAP5
PDCD6IP,PDCD6
TRAF6,CD40
GINS4,GINS1
RALBP1,RALA
TOPBP1,TICRR
PCBD1,HNF1B
IL5,IL5RA
MAPK1,RPS6KA1
MRGBP,MORF4L2
AMFR,HERPUD1
TIMM10,TIMM9
CBLL1,CDH1
PRKAA1,PRKAB2
NEDD4L,SCNN1G
UIMC1,BABAM2
FOXK2,BAP1
GRB2,CBLB
E2F6,TFDP1
NDUFAF3,NDUFAF4
DNMT3A,DNMT3L
TNFSF10,CFLAR
GTF2B,TBP
CAB39,STRADA
PRKCI,SQSTM1
FRAT1,GSK3B
GTF2H1,GTF2H2
SMAD2,ZFYVE9
MBL2,MASP1
SKP1,FBXO11
EMC9,EMC2
RAB8A,SYTL4
ATOX1,ATP7B
NECTIN3,NECTIN1
VCP,DERL1
ABCC9,KCNJ11
CCR3,CCL11
TNFAIP3,TRAF6
SNAP25,VAMP2
CDK9,MLLT1
AKT1,RICTOR
NXF1,NXT1
RNF31,TNF
GGA1,IGF2R
TNK2,CDC42
BCL2L11,BCL2L2
FBXW11,CDC25B
KAT5,EP400
MAPK7,MAP2K5
UBA2,SUMO1
EXOSC1,EXOSC4
HLA-B,B2M
MSL3,KAT8
PNRC2,DCP1A
RNF2,PCGF1
BAIAP2,CDC42
ARL2BP,ARL3
ATP6V1E2,ATP6V1G1
COPE,COPA
COPS6,COPS7A
GLMN,FKBP4
CDK8,MED1
AHCY,C1orf50
NOD1,RIPK2
NUDT21,CPSF6
PACSIN2,PACSIN1
TNFSF14,TNFRSF6B
PINX1,TERF1
CAPN1,CAPNS1
COPB1,ARCN1
PLK4,CEP152
DAXX,SUMO1
GPSM2,NUMA1
BUB3,CDC20
ELK1,MAPK3
ABRAXAS1,BABAM2
EXOSC2,EXOSC4
PRKAA2,PRKAG1
COPS6,COPS4
LIMS1,RSU1
HDAC2,MTA2
CFTR,SLC9A3R1
MYC,FBXW7
BRCA2,SEM1
